Scholarship Name,Course,Category,Annual Income,Current CGPA / %,Scholarship Type,Link,Deadline
SSP Post Matric Scholarship (Karnataka),UG / PG / Diploma,SC / ST / OBC / EWS / PWD,< 2.5 Lakh,50%+,State Government (SSP),https://ssp.postmatric.karnataka.gov.in,Dec-31
SSP Pre Matric Scholarship (Karnataka),School,SC / ST / OBC / EWS,< 2 Lakh,50%+,State Government (SSP),https://ssp.prematric.karnataka.gov.in,Nov-30
Vidyasiri Scholarship (Karnataka SSP),UG / PG,SC / ST / OBC (2A/3A/3B),< 2.5 Lakh,50%+,State Government (SSP),https://ssp.postmatric.karnataka.gov.in,Dec-31
Fee Reimbursement Scheme (Karnataka SSP),UG / PG / Engineering,SC / ST / OBC / EWS,< 2.5 Lakh,50%+,State Government (SSP),https://ssp.postmatric.karnataka.gov.in,Dec-31
Karnataka Minority Scholarship (SSP),School / UG / PG,Minority / EWS,< 2 Lakh,50%+,State Government (SSP),https://ssp.karnataka.gov.in,Nov-30
Karnataka PWD Scholarship (SSP),UG / PG,PWD,< 3 Lakh,50%+,State Government (SSP),https://ssp.karnataka.gov.in,Dec-15
National Scholarship Portal (NSP CSSS),UG,All / EWS,< 4.5 Lakh,80 percentile,Central Government,https://scholarships.gov.in,Oct-31
AICTE Pragati Scholarship,Diploma / B.Tech,Girls / EWS,< 8 Lakh,60%+,Central Government,https://www.aicte-india.org,Nov-30
AICTE Saksham Scholarship,Diploma / B.Tech,PWD,< 8 Lakh,60%+,Central Government,https://www.aicte-india.org,Nov-30
PM YASASVI Scholarship,10th / 12th,OBC / EWS,< 2.5 Lakh,60%+,Central Government,https://yet.nta.ac.in,Aug-31
INSPIRE Scholarship,B.Sc / Science,All,No limit,95%+,Central Government,https://online-inspire.gov.in,Oct
National Scholarship for PWD Students,UG / PG,PWD,< 3 Lakh,50%+,Central Government,https://scholarships.gov.in,Nov-30
Reliance Foundation Scholarship,UG,All / EWS,< 8.5 Lakh,Merit,Private,https://reliancefoundation.org,Oct
Tata Capital Pankh Scholarship,School / UG,All / EWS,< 2.5 Lakh,60%+,Private,https://www.buddy4study.com,Sep-30
HDFC Parivartan ECSS,School / UG / PG,All / EWS,< 2.5 Lakh,55%+,Private,https://www.hdfcbank.com,Dec-31
Sitaram Jindal Scholarship,All,All / EWS,< 4 Lakh,65%+,Private Trust,https://www.sitaramjindalfoundation.org,Rolling
Foundation for Excellence (FFE),B.Tech / MBBS,All / EWS,< 3 Lakh,70%+,Private Trust,https://ffe.org,Dec-31
Legrand Empowering Scholarship,Diploma / UG,Girls / EWS / PWD,< 5 Lakh,60%+,Private,https://www.buddy4study.com,Sep-15
Kotak Kanya Scholarship,UG,Girls / EWS,< 3 Lakh,75%+,Private,https://kotakeducation.org,Dec-15
Aditya Birla Scholarship,UG (Top Colleges),All / EWS,No limit,90%+,Private,https://www.adityabirla.com,Sep-15
Prize Money Scholarship (Karnataka),UG / PG,SC / ST,< 2.5 Lakh,60%+,State Government,https://ssp.postmatric.karnataka.gov.in,Jan-31
